email,first_name,last_name,username,planet
student_012@correo.ugr.es,Name_012,Last_name_012,USERNAME_012,-VENUS-
student_066@correo.ugr.es,Name_066,Last_name_066,USERNAME_066,-VENUS-
student_030@correo.ugr.es,Name_030,Last_name_030,USERNAME_030,-EARTH-
student_008@correo.ugr.es,Name_008,Last_name_008,USERNAME_008,-EARTH-
student_133@correo.ugr.es,Name_133,Last_name_133,USERNAME_133,
student_120@correo.ugr.es,Name_120,Last_name_120,USERNAME_120,-EARTH-
student_108@correo.ugr.es,Name_108,Last_name_108,USERNAME_108,-SATURN-
student_026@correo.ugr.es,Name_026,Last_name_026,USERNAME_026,-SATURN-
student_104@correo.ugr.es,Name_104,Last_name_104,USERNAME_104,-URANUS-
student_107@correo.ugr.es,Name_107,Last_name_107,USERNAME_107,-SATURN-
student_046@correo.ugr.es,Name_046,Last_name_046,USERNAME_046,-EARTH-
student_047@correo.ugr.es,Name_047,Last_name_047,USERNAME_047,-SATURN-
student_113@correo.ugr.es,Name_113,Last_name_113,USERNAME_113,-URANUS-
student_079@correo.ugr.es,Name_079,Last_name_079,USERNAME_079,-VENUS-
student_127@correo.ugr.es,Name_127,Last_name_127,USERNAME_127,-EARTH-
student_035@correo.ugr.es,Name_035,Last_name_035,USERNAME_035,-SATURN-
student_131@correo.ugr.es,Name_131,Last_name_131,USERNAME_131,-EARTH-
demo@correo.ugr.es,Name_067,Last_name_067,USERNAME_067,-SATURN-
student_002@correo.ugr.es,Name_002,Last_name_002,USERNAME_002,-MARTE-
**unregistered_stu_09@correo.ugr.es,Unregistered_007,Un_Last_name_007,UN_USERNAME_007,
student_100@correo.ugr.es,Name_100,Last_name_100,USERNAME_100,-SATURN-
student_130@correo.ugr.es,Name_130,Last_name_130,USERNAME_130,-VENUS-
